#,Auto ID,County,District,Central site,Referral sites,Site Code,Distance* (KM),Type,On Treatment,On Care,Load,Total Equipment
34,34,Kiambu,Kiambu,      AIC Kijabe Mission Hosiptal,Kijabe Hospital(Marira),10693,19.2,FBO,763,0,763,0
35,35,Kiambu,Kiambu,      AIC Kijabe Mission Hosiptal,Kijabe Hospital(Njabini),10602,0,FBO,230,0,230,0
36,36,Kiambu,Kiambu,      AIC Kijabe Mission Hosiptal,Kijabe Hospital(Thigio),10602,0,FBO,202,0,202,0
37,37,Kiambu,Kiambu,Nazareth Mission Hospital,,10825,0,FBO,1470,4753,6223,2
38,38,Kiambu,Kiambu,      Nazareth Mission Hospital,Nazareth(Kahawa Wendani),10825,0,FBO,148,0,148,0
39,39,Kiambu,Kiambu,      Nazareth Mission Hospital,Nazareth(Kivuli),10825,0,FBO,23,0,23,0
40,40,Kiambu,Kiambu,      Nazareth Mission Hospital,Nazareth(Korogocho),10825,0,FBO,221,0,221,0
41,41,Kiambu,Kiambu,      Nazareth Mission Hospital,Nazareth(Limuru),10825,0,FBO,256,0,256,0
42,42,Kiambu,Kiambu,      Nazareth Mission Hospital,Nazareth(Ruiru),17940,0,FBO,254,433,687,0
43,43,Kiambu,Kiambu,      Nazareth Mission Hospital,Nazareth(Sacred Heart),10825,0,FBO,258,0,258,0
44,44,Kiambu,Kiambu,      Nazareth Mission Hospital,Nazareth(Tinganga),10825,0,FBO,166,0,166,0
45,45,Kiambu,Kiambu,      Nazareth Mission Hospital,Nazareth(Westlands),10825,0,FBO,281,0,281,0
46,46,Kiambu,Kiambu,Kikuyu PCEA Hospital,,10603,0,FBO,987,0,987,2
47,47,Kiambu,Kiambu,      Kikuyu PCEA Hospital,PCEA Kikuyu(Embulbul),10603,0,FBO,8,0,8,0
48,48,Kiambu,Kiambu,      Kikuyu PCEA Hospital,PCEA Kikuyu(Gachie),10603,0,FBO,82,0,82,0
49,49,Kiambu,Kiambu,      Kikuyu PCEA Hospital,PCEA Kikuyu(Kiserian),10603,0,FBO,15,0,15,0
50,50,Kiambu,Kiambu,      Kikuyu PCEA Hospital,PCEA Kikuyu(Uthiru),10603,0,FBO,24,0,24,0
51,51,Kiambu,Kiambu,      Kikuyu PCEA Hospital,PCEA Kikuyu(Wangige),10603,0,FBO,120,0,120,0
52,52,Kiambu,Thika East,Thika District Hospital,,11094,0,MoH,2616,0,2616,3
53,53,Kiambu,Thika East,      Thika District Hospital,Gatura Health Center,10236,36.8,MoH,104,0,104,0
54,54,Kiambu,Thika East,      Thika District Hospital,Juja farm Dispensary,10386,23,MoH,80,147,227,0
55,55,Kiambu,Thika East,      Thika District Hospital,Kiandutu Health Clinic,16814,3,MoH,0,0,0,0
56,56,Kiambu,Thika East,      Thika District Hospital,Kirwara Health Centre,10639,27.6,MoH,457,0,457,0
57,57,Kiambu,Thika East,      Thika District Hospital,Mitubiri Health Centre,10733,17.7,MoH,95,0,95,0
58,58,Kiambu,Thika West,      Thika District Hospital,Ngoliba Health Centre,10869,32,MoH,250,870,1120,0
59,59,Kiambu,Thika West,      Thika District Hospital,Ruiru Health Clinic,18184,45.4,MoH,377,0,377,0
60,60,Kiambu,Thika West,St Mulumba Mission Hospital,,10765,0,FBO,583,1231,1814,2
61,61,Kiambu,Thika West,      St Mulumba Mission Hospital,Naidu Hospital,10819,0,FBO,0,0,0,0
62,62,Kiambu,Thika West,      St Mulumba Mission Hospital,Thika Nursing Home,11097,5,FBO,45,146,191,0
63,63,Kirinyaga,Kirinyaga Central,Kerugoya District Hospital,,10520,0,MoH,1362,3476,4838,3
64,64,Kirinyaga,Kirinyaga Central,      Kerugoya District Hospital,Sagana Rural Health Demonstration Centre,10994,14.8,MoH,154,996,1150,1
65,65,Kirinyaga,Kirinyaga Central,      Kerugoya District Hospital,Kimbimbi Sub-District Hospital,10609,22.9,MoH,569,1329,1898,1
66,66,Kirinyaga,Kirinyaga East,      Kerugoya District Hospital,Baricho Health Centre,10049,23.1,MoH,86,170,256,0
67,67,Kirinyaga,Kirinyaga East,      Kerugoya District Hospital,Difathas Health Centre,10110,19.4,MoH,74,157,231,0
68,68,Kirinyaga,Kirinyaga East,      Kerugoya District Hospital,Kabare Health Centre,10388,17.3,MoH,61,106,167,0
69,69,Kirinyaga,Kirinyaga East,      Kerugoya District Hospital,Kagumo Dispensary,10402,6,MoH,434,211,645,0
70,70,Kirinyaga,Kirinyaga East,      Kerugoya District Hospital,Kangaita Health Centre (Ndia),10462,1.2,MoH,21,17,38,0
71,71,Kirinyaga,Kirinyaga East,      Kerugoya District Hospital,Kiamutugu Health Centre,10545,27.4,MoH,78,184,262,0
72,72,Kirinyaga,Kirinyaga North,      Kerugoya District Hospital,Kianyaga Sub-District Hospital,10565,19,MoH,104,2559,2663,0
73,73,Kirinyaga,Kirinyaga North,      Kerugoya District Hospital,Kiumbu Health Centre,10641,22,MoH,1316,12,1328,0
74,74,Kirinyaga,Kirinyaga North,      Kerugoya District Hospital,Murinduko Health Centre,10781,28.5,MoH,6,14,20,0
75,75,Kirinyaga,Kirinyaga North,Mwea Mission Hospital,,10808,0,FBO,51,98,149,2
76,76,Kirinyaga,Kirinyaga North,      Mwea Mission Hospital,Mt. Kenya (ACK) Hospital,10738,65.9,FBO,154,316,470,1
77,77,Kirinyaga,Kirinyaga North,      Mwea Mission Hospital,Christian Community Clinic,10092,26.7,FBO,0,0,0,0
78,78,Kirinyaga,Kirinyaga South,      Mwea Mission Hospital,Gatumbi SDA Dispensary,10232,38.8,FBO,0,0,0,0
79,79,Kirinyaga,Kirinyaga South,      Mwea Mission Hospital,Kagio Catholic Dispensary,10398,13,FBO,30,0,30,0
80,80,Kirinyaga,Kirinyaga South,      Mwea Mission Hospital,Kimorori CBO,0,0,FBO,162,0,162,0
81,81,Kirinyaga,Kirinyaga South,      Mwea Mission Hospital,Saikaka CBO,0,0,FBO,87,0,87,0
82,82,Kirinyaga,Kirinyaga South,      Mwea Mission Hospital,Umoja CBO,11124,43.4,FBO,148,0,148,0
83,83,Kirinyaga,Kirinyaga South,      Mwea Mission Hospital,Karaini ACK Dispensary,10478,33.3,FBO,0,0,0,0
84,84,Homa Bay,Rachuonyo South,      Mwea Mission Hospital,Kerugoya catholic Dispensary,10519,26.7,FBO,0,0,0,0
85,85,Homa Bay,Rachuonyo South,      Mwea Mission Hospital,Kutus Catholic Dispensary,10646,21.6,FBO,0,0,0,0
86,86,Homa Bay,Rachuonyo South,      Mwea Mission Hospital,Sacred heart Kangaita Catholic Dispensary,10989,33.4,FBO,0,0,0,0
87,87,Muranga,Muranga South,Muranga District Hospital,,10777,0,MoH,2470,3808,6278,2
88,88,Muranga,Muranga South,      Muranga District Hospital,Kangema Sub-District Hospital,10470,24.7,MoH,830,0,830,2
89,89,Muranga,Muranga South,      Muranga District Hospital,Muriranjas Sub-District Hospital,10782,23.7,MoH,247,0,247,1
90,90,Muranga,Muranga South,      Muranga District Hospital,Ebenezer Dispensary Muranga,0,0,MoH,312,0,312,0
91,91,Muranga,Muranga South,      Muranga District Hospital,GK Prisons Dispensary,10287,2.2,MoH,,,0,0
92,92,Muranga,Muranga South,      Muranga District Hospital,Kihoya Medical Centre,10595,41.4,FBO,21,0,21,0
93,93,Muranga,Muranga South,      Muranga District Hospital,Kiria Dispensary,10624,13.5,MoH,12,112,124,0
94,94,Muranga,Muranga West,      Muranga District Hospital,Kiria-ini Dispensary,10625,32.7,MoH,211,649,860,0
95,95,Muranga,Muranga West,      Muranga District Hospital,Kirogo Health Center,10635,16.6,MoH,133,234,367,0
96,96,Muranga,Muranga West,      Muranga District Hospital,Matharaite Dispensary,10706,31.3,MoH,28,0,28,0
97,97,Muranga,Muranga West,      Muranga District Hospital,Mugeka Dispensary,10744,13.2,MoH,151,210,361,0
98,98,Muranga,Muranga West,      Muranga District Hospital,Mutithi Health Centre,10798,32.1,MoH,22,53,75,0
99,99,Muranga,Muranga West,      Muranga District Hospital,Nyakianga Health Center,10893,32.2,MoH,190,282,472,0
100,100,Muranga,Muranga South,Maragua District Hospital,,10686,0,MoH,3348,6860,10208,3
101,101,Muranga,Muranga South,      Maragua District Hospital,Makuyu H/C,10674,18,MoH,228,357,585,1
102,102,Muranga,Muranga South,      Maragua District Hospital,Gaichanjiru Hospital,10199,24.3,MoH,147,191,338,0
103,103,Muranga,Muranga South,      Maragua District Hospital,Kandara Health Centre,10459,28.6,MoH,0,0,0,0
104,104,Muranga,Muranga South,      Maragua District Hospital,Maragua Ridge Health Centre,10687,11.5,MoH,0,0,0,0
105,105,Muranga,Muranga South,      Maragua District Hospital,Sabasaba Sub-Health Centre,10987,11.4,MoH,111,173,284,0
106,106,Muranga,Muranga South,      Maragua District Hospital,Ichagaki (Mission) Health Centre,10332,9.3,MoH,0,0,0,0
107,107,Muranga,Muranga South,      Maragua District Hospital,Kigumo Health Centre (Muranga South),10588,20.3,MoH,144,64,208,0
108,108,Nyandarua,Nyandarua North,Nyahururu District Hospital,,10890,0,MoH,53,0,53,3
109,109,Nyandarua,Nyandarua North,      Nyahururu District Hospital,Olkalou Sub District Hospital,10916,35.4,MoH,898,0,898,2
110,110,Nyandarua,Nyandarua South,      Nyahururu District Hospital,Engineer District Hospital,10171,91,MoH,521,0,521,2
111,111,Nyandarua,Nyandarua South,      Nyahururu District Hospital,Njabini Health Centre,10878,107,MoH,42,0,42,1
112,112,Nyandarua,Nyandarua North,      Nyahururu District Hospital,Kasuku Health Centre,10509,15.9,MoH,159,0,159,0
113,113,Nyandarua,Nyandarua North,      Nyahururu District Hospital,Mirangine Health Centre,10732,33.2,MoH,114,379,493,0
114,114,Nyandarua,Nyandarua North,      Nyahururu District Hospital,Silibwet Dispensary (Nyandarua North),11009,50.6,MoH,95,154,249,0
115,115,Nyandarua,Nyandarua North,      Nyahururu District Hospital,Maina & Mwangi Health Centre,10671,20,MoH,0,0,0,0
116,116,Nyandarua,Nyandarua North,      Nyahururu District Hospital,Mukindu Dispensary.,10756,26,MoH,60,0,60,0
117,117,Nyandarua,Nyandarua North,      Nyahururu District Hospital,New Mawingu Dispensary,10851,52,MoH,20,23,43,0
118,118,Nyandarua,Nyandarua North,      Nyahururu District Hospital,New Tumaini Dispensary,10852,42.5,MoH,62,0,62,0
119,119,Nyandarua,Nyandarua North,      Nyahururu District Hospital,Ngano Health Centre,10856,23.1,MoH,0,0,0,0
120,120,Nyandarua,Nyandarua North,      Nyahururu District Hospital,Olkalou (ACK) Dispensary,10915,35.4,FBO,9,0,9,0
121,121,Nyandarua,Nyandarua North,      Nyahururu District Hospital,GK Prisons Dispensary,14522,0.2,MoH,,,0,0
122,122,Nyandarua,Nyandarua North,      Nyahururu District Hospital,Kenton Dispensary,10513,46,MoH,61,0,61,0
123,123,Nyandarua,Nyandarua North,      Nyahururu District Hospital,Kirima Dispensary,10630,46,MoH,0,0,0,0
124,124,Nyandarua,Nyandarua North,      Nyahururu District Hospital,Kirogo Dispensary,10635,176,MoH,133,234,367,0
125,125,Nyandarua,Nyandarua North,      Nyahururu District Hospital,Leshau Pondo Health Centre,10657,13,MoH,0,0,0,0
126,126,Nyandarua,Nyandarua North,      Nyahururu District Hospital,Maina Village Dispensary,10672,3.1,MoH,0,0,0,0
127,127,Nyandarua,Nyandarua North,      Nyahururu District Hospital,Ndaragwa Health Centre,10829,26.4,MoH,222,481,703,0
128,128,Nyandarua,Nyandarua North,      Nyahururu District Hospital,Subuku Dispensary,11076,20.9,MoH,0,0,0,0
129,129,Nyandarua,Nyandarua South,      Nyahururu District Hospital,Gathara Dispensary,10215,95.8,MoH,0,0,0,0
130,130,Nyandarua,Nyandarua South,      Nyahururu District Hospital,Manunga Dispensary,10681,60.5,MoH,79,121,200,0
131,131,Nyandarua,Nyandarua South,      Nyahururu District Hospital,Wanjohi Health Centre,11173,57.1,MoH,114,187,301,0
132,132,Nyandarua,Nyandarua South,      Nyahururu District Hospital,Bamboo Dispensary,10044,56.6,MoH,74,201,275,0
133,133,Nyandarua,Nyandarua South,      Nyahururu District Hospital,Karangatha Dispensary,10841,62,MoH,34,53,87,0
134,134,Nyandarua,Nyandarua South,North Kinangop Catholic Hospital,,10887,0,FBO,868,1619,2487,1
135,135,Nyandarua,Nyandarua South,      North Kinangop Catholic Hospital,St Lukes Clinic,0,0,FBO,0,0,0,0
136,136,Nyandarua,Nyandarua South,      North Kinangop Catholic Hospital,St Peter & Paul Clinic,11065,0,FBO,0,0,0,0
137,137,Nyeri,Mathira East,Karatina District Hospital,,10485,0,MoH,1727,0,1727,3
138,138,Nyeri,Mathira East,      Karatina District Hospital,Gatei Dispensary,10210,10,MoH,0,0,0,0
139,139,Nyeri,Mathira East,      Karatina District Hospital,Gatondo Dispensary (Nyeri North),10224,7,MoH,0,0,0,0
140,140,Nyeri,Mathira East,      Karatina District Hospital,Itiati Dispensary,10360,9,MoH,0,0,0,0
141,141,Nyeri,Mathira East,      Karatina District Hospital,Itundu Dispensary,10361,13,MoH,0,0,0,0
142,142,Nyeri,Mathira West,      Karatina District Hospital,Kahuru Dispensary (Nyeri North),10427,5,MoH,0,0,0,0
143,143,Nyeri,Mathira West,      Karatina District Hospital,Kiamabara Dispensary,10530,4,MoH,0,0,0,0
144,144,Nyeri,Mathira West,      Karatina District Hospital,Ndimaini Dispensary,10833,7,MoH,0,0,0,0
145,145,Nyeri,Mathira West,      Karatina District Hospital,Ngorano Health Centre,10870,14,MoH,69,142,211,0
146,146,Nyeri,Mathira West,      Karatina District Hospital,Wakamara Health Centre,11158,8,MoH,0,0,0,0
147,147,Nyeri,Kieni East,Naromoru District Hospital,,10822,0,MoH,253,0,253,2
148,148,Nyeri,Kieni East,      Naromoru District Hospital,Bellevue Health Centre,10055,51,MoH,21,0,21,0
149,149,Nyeri,Kieni East,      Naromoru District Hospital,Embaringo Dispensary,10166,45.1,MoH,0,0,0,0
150,150,Nyeri,Kieni East,      Naromoru District Hospital,Endarasha Rural Health Centre,10170,32.7,MoH,73,0,73,0
151,151,Nyeri,Kieni East,      Naromoru District Hospital,Gakawa Dispensary,10200,26,MoH,0,0,0,0
152,152,Nyeri,Kieni East,      Naromoru District Hospital,Kamburaini Health Centre,10447,27,MoH,0,0,0,0
153,153,Nyeri,Kieni West,      Naromoru District Hospital,Karemeno Dispensary,10490,50,MoH,0,0,0,0
154,154,Nyeri,Kieni West,      Naromoru District Hospital,Kiamathaga Dispensary,10536,14,MoH,0,0,0,0
155,155,Nyeri,Kieni West,      Naromoru District Hospital,Mugunda Dispensary,10749,45.4,MoH,56,0,56,0
156,156,Nyeri,Kieni West,      Naromoru District Hospital,Mureru Dispensary,10780,5,MoH,0,0,0,0
157,157,Nyeri,Kieni West,      Naromoru District Hospital,Ndathi Dispensary,10830,39.3,MoH,0,0,0,0
158,158,Nyeri,Kieni West,      Naromoru District Hospital,Warazo Rural Health Centre,11176,44.8,MoH,27,0,27,0
159,159,Nyeri,Kieni West,      Naromoru District Hospital,Watuka Dispensary,11178,39.7,MoH,0,0,0,0
160,160,Nyeri,Mathira East,Tumutumu PCEA Hospital,,11124,0,FBO,865,0,865,3
161,161,Nyeri,Mathira East,      Tumutumu PCEA Hospital,Karatina Catholic Dispensary,10484,16.4,FBO,0,0,0,0
162,162,Nyeri,Mathira East,      Tumutumu PCEA Hospital,Kiaruhiu (PCEA) Health Centre,10567,14.7,FBO,0,0,0,0
163,163,Nyeri,Mathira East,      Tumutumu PCEA Hospital,Magutu (PCEA) Dispensary,10669,18.1,FBO,0,0,0,0
164,164,Nyeri,Mathira East,      Tumutumu PCEA Hospital,Mt. Kenya Narumoru M/C,10741,47,FBO,56,0,56,0
165,165,Nyeri,Mathira East,      Tumutumu PCEA Hospital,Mugunda Mission Dispensary,10750,79.1,FBO,231,460,691,2
166,166,Nyeri,Mathira East,      Tumutumu PCEA Hospital,Ngandu Catholic Dispensary,10855,7.1,FBO,0,0,0,0
167,167,Nyeri,Mathira West,      Tumutumu PCEA Hospital,Tumutumu(Gatithi),11124,0,FBO,30,0,30,0
168,168,Nyeri,Mathira West,      Tumutumu PCEA Hospital,Tumutumu(Ichamara),11124,0,FBO,28,0,28,0
169,169,Nyeri,Mathira West,      Tumutumu PCEA Hospital,Tumutumu(Kiaruhiu),11124,0,FBO,28,0,28,0
170,170,Nyeri,Mathira West,      Tumutumu PCEA Hospital,Tumutumu(Kiburu),11124,0,FBO,24,0,24,0
171,171,Nyeri,Mathira West,      Tumutumu PCEA Hospital,Tumutumu(Ngorano),11124,0,FBO,27,0,27,0
172,172,Nyeri,Mathira West,      Tumutumu PCEA Hospital,Tumutumu(Njoki -ini),11124,0,FBO,43,0,43,0
173,173,Nyeri,Kieni West,Mugunda Mission Dispensary,,10750,0,FBO,,,0,0
174,174,Nyeri,Kieni West,      Mugunda Mission Dispensary,Mbiriri Catholic Dispensary,10713,7.4,FBO,0,0,0,0
175,175,Nyeri,Kieni West,      Mugunda Mission Dispensary,Bethsaida (PCEA) Dispensary (Nyeri),10063,62,FBO,0,0,0,0
176,176,Nyeri,Kieni West,      Mugunda Mission Dispensary,Mary Immaculate Hospital,10700,35.7,FBO,197,332,529,0
177,177,Nyeri,Kieni East,      Mugunda Mission Dispensary,Narumoru Catholic Dispensary,16816,45.5,FBO,262,498,760,0
178,178,Nyeri,Kieni East,      Mugunda Mission Dispensary,St John Catholic Dispensary,16817,44.9,FBO,0,0,0,0
179,179,Nyeri,Kieni East,      Mugunda Mission Dispensary,Narumoru Disabled Children's Home,10823,45,FBO,0,0,0,0
180,180,Nyeri,Nyeri South,Nyeri Provincial General Hospital,,10903,0,MoH,1943,0,1943,3
181,181,Nyeri,Nyeri South,      Nyeri Provincial General Hospital,Mt. Kenya District Hospital,10739,5,MoH,438,0,438,1
182,182,Nyeri,Nyeri South,      Nyeri Provincial General Hospital,Othaya Sub-District. Hospital,10922,18,MoH,712,0,712,2
183,183,Nyeri,Nyeri South,      Nyeri Provincial General Hospital,Aguthi Dispensary,10017,13,MoH,0,0,0,0
184,184,Nyeri,Nyeri South,      Nyeri Provincial General Hospital,Gichiche Sub Health Center,10249,25,MoH,5,0,5,0
185,185,Nyeri,Nyeri South,      Nyeri Provincial General Hospital,Gichira Sub-Health Centre,10251,13,MoH,130,0,130,0
186,186,Nyeri,Nyeri South,      Nyeri Provincial General Hospital,Gumba Health Centre,10305,36,MoH,0,0,0,0
187,187,Nyeri,Nyeri South,      Nyeri Provincial General Hospital,Ichamara Dispensary,10333,3,MoH,1999,3760,5759,0
188,188,Nyeri,Nyeri South,      Nyeri Provincial General Hospital,Igana Dispensary,10337,6,MoH,0,0,0,0
189,189,Nyeri,Nyeri South,      Nyeri Provincial General Hospital,Kaheti Dispensary & Maternity,10420,6,MoH,0,0,0,0
190,190,Nyeri,Nyeri South,      Nyeri Provincial General Hospital,Karaba Dispensary (Nyeri South),10476,75,MoH,0,0,0,0
191,191,Nyeri,Nyeri South,      Nyeri Provincial General Hospital,Karaba Health Center,10476,14,MoH,68,0,68,0
192,192,Nyeri,Nyeri South,      Nyeri Provincial General Hospital,Karundu Dispensary,10505,6,MoH,0,0,0,0
193,193,Nyeri,Nyeri South,      Nyeri Provincial General Hospital,Kiganjo Market Dispensary,10582,14,MoH,188,297,485,0
194,194,Nyeri,Nyeri South,      Nyeri Provincial General Hospital,Kiuu Dispensary,10643,36,MoH,0,0,0,0
195,195,Nyeri,Nyeri South,      Nyeri Provincial General Hospital,Mercy Medical Clinic (Othaya),10721,17,MoH,153,0,153,0
196,196,Nyeri,Nyeri South,      Nyeri Provincial General Hospital,Mihuti Dispensary (Nyeri South),10729,6,MoH,0,0,0,0
197,197,Nyeri,Nyeri South,      Nyeri Provincial General Hospital,Mukuruweini Sub District Hopital,10763,25.4,MoH,583,0,583,0
198,198,Nyeri,Nyeri South,      Nyeri Provincial General Hospital,Muthuthiini Dispensary,10794,6,MoH,0,0,0,0
199,199,Nyeri,Nyeri South,      Nyeri Provincial General Hospital,Mweru Dispensary (Nyeri South),10814,12,MoH,0,0,0,0
200,200,Nyeri,Nyeri South,      Nyeri Provincial General Hospital,Njoki Dispensary,10884,7,MoH,0,0,0,0
201,201,Nyeri,Nyeri South,      Nyeri Provincial General Hospital,Nyakio Womens Group-Mweiga,0,17,MoH,127,0,127,0
202,202,Nyeri,Nyeri South,      Nyeri Provincial General Hospital,Nyeri Surgicare Clinic,10904,3,MoH,73,0,73,0
203,203,Nyeri,Nyeri South,      Nyeri Provincial General Hospital,Nyeri Town VCT,10905,3,MoH,18,0,18,0
204,204,Nyeri,Nyeri South,      Nyeri Provincial General Hospital,Nyeri Youth Heath Centre,10906,7,MoH,256,0,256,0
205,205,Nyeri,Nyeri South,      Nyeri Provincial General Hospital,Outspan Hospital,10924,4.2,MoH,149,196,345,0
206,206,Nyeri,Nyeri South,      Nyeri Provincial General Hospital,Tambaya Dispensary,11083,7,MoH,0,0,0,0
207,207,Nyeri,Nyeri South,      Nyeri Provincial General Hospital,Thangathi Dispensary,11090,36,MoH,65,0,65,0
208,208,Nyeri,Nyeri South,      Nyeri Provincial General Hospital,Wamagana Health Centre,11161,8,MoH,202,0,202,0
209,209,Nyeri,Nyeri South,Consolata Mathari Hospital,,10100,0,FBO,849,0,849,2
210,210,Nyeri,Nyeri South,      Consolata Mathari Hospital,consolata(Nyeri main Pri),0,3.7,FBO,39,0,39,0
211,211,Nyeri,Nyeri South,      Consolata Mathari Hospital,consolata(Tumaini Huruma),0,1,FBO,63,0,63,0
212,212,Mombasa,Mvita,Coast Provincial General Hospital,,11289,0,MoH,4083,17684,21767,3
213,213,Kilifi,Bahari,      Coast Provincial General Hospital,Mtwapa Dispensary,11672,25,MoH,485,2238,2723,0
214,214,Mombasa,Mvita,      Coast Provincial General Hospital,GK Prison Health Center (Shimo Main),11393,19,MoH,325,2114,2439,0
215,215,Mombasa,Mvita,      Coast Provincial General Hospital,Mtongwe Dispensary,11669,8.6,MoH,522,1173,1695,0
216,216,Mombasa,Mvita,      Coast Provincial General Hospital,Tudor Health Centre,11862,5,MoH,1057,41,1098,0
217,217,Kilifi,Kaloleni,      Coast Provincial General Hospital,Mariakani District Hospital,11566,40,MoH,803,2986,3789,0
218,218,Kilifi,Kaloleni,      Coast Provincial General Hospital,Challani Dispensary,16191,5,MoH,0,0,0,0
219,219,Kilifi,Kaloleni,      Coast Provincial General Hospital,Jibana Sub District Hospital,11432,33.8,MoH,76,0,76,0
220,220,Kilifi,Kaloleni,      Coast Provincial General Hospital,Kambe Dispensary,16192,29.7,MoH,0,0,0,0
221,221,Kilifi,Kaloleni,      Coast Provincial General Hospital,Makanzani Dispensary,11547,39.5,MoH,14,114,128,0
222,222,Kilifi,Kaloleni,      Coast Provincial General Hospital,Rabai Health Centre,11748,26,MoH,230,767,997,0
223,223,Kilifi,Kaloleni,      Coast Provincial General Hospital,Shangia Dispensary,16189,65.6,MoH,0,0,0,0
224,224,Kilifi,Kaloleni,      Coast Provincial General Hospital,Tsangatsini Health Cente,11859,56,MoH,17,70,87,0
225,225,Kilifi,Kaloleni,      Coast Provincial General Hospital,Vishakani Dispensary,16190,34.4,MoH,0,0,0,0
226,226,Kilifi,Bahari,Kilifi District Hospital,,11474,0,MoH,1981,6834,8815,2
227,227,Kilifi,Bahari,      Kilifi District Hospital,Bamba Health Centre,11237,57,MoH,193,577,770,0
228,228,Kilifi,Bahari,      Kilifi District Hospital,Bomani Dispensary,11255,40.7,MoH,0,0,0,0
229,229,Kilifi,Bahari,      Kilifi District Hospital,Chasimba Dispensary,11282,37,MoH,104,269,373,0
230,230,Kilifi,Bahari,      Kilifi District Hospital,Ganze Dispensary,11383,37.1,MoH,94,243,337,0
231,231,Kilifi,Bahari,      Kilifi District Hospital,Matsangoni Dispensary,11580,29,MoH,94,357,451,0
232,232,Kilifi,Bahari,      Kilifi District Hospital,Vipingo Health Centre,11881,24,MoH,307,1264,1571,0
